Property ID in AVL packet Property ID in AVL packet,Property Name Property Name,Bytes Bytes,Type Type,Value range Min,Value range Max,Units Units,Parameter Group Parameter Group
470,BLE 2 Custom #5,4,UNSIGNED LONG INT,0,4294967295,-,Bluetooth Low Energy
333,BLE 3 Custom #1,Variable,HEX,0,-,-,Bluetooth Low Energy
471,BLE 3 Custom #2,4,UNSIGNED LONG INT,0,4294967295,-,Bluetooth Low Energy
472,BLE 3 Custom #3,4,UNSIGNED LONG INT,0,4294967295,-,Bluetooth Low Energy
473,BLE 3 Custom #4,4,UNSIGNED LONG INT,0,4294967295,-,Bluetooth Low Energy
474,BLE 3 Custom #5,4,UNSIGNED LONG INT,0,4294967295,-,Bluetooth Low Energy
334,BLE 4 Custom #1,Variable,HEX,0,-,-,Bluetooth Low Energy
475,BLE 4 Custom #2,4,UNSIGNED LONG INT,0,4294967295,-,Bluetooth Low Energy
476,BLE 4 Custom #3,4,UNSIGNED LONG INT,0,4294967295,-,Bluetooth Low Energy
477,BLE 4 Custom #4,4,UNSIGNED LONG INT,0,4294967295,-,Bluetooth Low Energy
478,BLE 4 Custom #5,4,UNSIGNED LONG INT,0,4294967295,-,Bluetooth Low Energy
81,Vehicle Speed,1,Unsigned,0,255,km/h,"LVCAN200, ALLCAN300, CANCONTROL"
82,Accelerator Pedal Position,1,Unsigned,0,102,%,"LVCAN200, ALLCAN300, CANCONTROL"
83,Fuel Consumed,4,Unsigned,0,2147483647,l,"LVCAN200, ALLCAN300, CANCONTROL"
84,Fuel Level,2,Unsigned,0,65535,l,"LVCAN200, ALLCAN300, CANCONTROL"
85,Engine RPM,2,Unsigned,0,16384,rpm,"LVCAN200, ALLCAN300, CANCONTROL"
87,Total Mileage,4,Unsigned,0,4294967295,m,"LVCAN200, ALLCAN300, CANCONTROL"
89,Fuel level,1,Unsigned,0,100,%,"LVCAN200, ALLCAN300, CANCONTROL"
90,Door Status,2,Unsigned,0,16128,-,"LVCAN200, ALLCAN300, CANCONTROL"
100,Program Number,4,Unsigned,0,99999,-,"LVCAN200, ALLCAN300, CANCONTROL"
101,Module ID 8B,8,Unsigned,0,0xFFFFFFFFFFFFFFFF,-,"LVCAN200, ALLCAN300, CANCONTROL"
388,Module ID 17B,17,HEX,0,0x7FFFFFFFFFFFFFFF,-,"LVCAN200, ALLCAN300, CANCONTROL"
102,Engine Worktime,4,Unsigned,0,1677215,min,"ALLCAN300, CANCONTROL"
103,Engine Worktime (counted),4,Unsigned,0,1677215,min,"ALLCAN300, CANCONTROL"
105,Total Mileage (counted),4,Unsigned,0,4294967295,m,"LVCAN200, ALLCAN300, CANCONTROL"
107,Fuel Consumed (counted),4,Unsigned,0,2147483647,l,"LVCAN200, ALLCAN300, CANCONTROL"
110,Fuel Rate,2,Unsigned,0,32768,l/h,ALLCAN300
111,AdBlue Level,1,Unsigned,0,100,%,ALLCAN300
112,AdBlue Level,2,Unsigned,0,65535,l,ALLCAN300
114,Engine Load,1,Unsigned,0,130,%,ALLCAN300
115,Engine Temperature,2,Signed,-600,1270,°C,"LVCAN200, ALLCAN300, CANCONTROL"
118,Axle 1 Load,2,Unsigned,0,32768,kg,ALLCAN300
119,Axle 2 Load,2,Unsigned,0,32768,kg,ALLCAN300
120,Axle 3 Load,2,Unsigned,0,32768,kg,ALLCAN300
121,Axle 4 Load,2,Unsigned,0,32768,kg,ALLCAN300
122,Axle 5 Load,2,Unsigned,0,32768,kg,ALLCAN300
123,Control State Flags,4,Unsigned,0,4294967295,-,"ALLCAN300, CANCONTROL"
124,Agricultural Machinery Flags,8,Unsigned,0,0xFFFFFFFFFFFFFFFF,-,ALLCAN300
125,Harvesting Time,4,Unsigned,0,16777215,min,ALLCAN300
126,Area of Harvest,4,Unsigned,0,4294967295,m2,ALLCAN300
127,Mowing Efficiency,4,Unsigned,0,4294967295,m2/h,ALLCAN300
128,Grain Mown Volume,4,Unsigned,0,4294967295,kg,ALLCAN300
129,Grain Moisture,2,Unsigned,0,100,%,ALLCAN300
130,Harvesting Drum RPM,2,Unsigned,0,65535,rpm,ALLCAN300
131,Gap Under Harvesting Drum,1,Unsigned,0,255,mm,ALLCAN300
132,Security State Flags,8,Unsigned,0,0xFFFFFFFFFFFFFFFF,-,"ALLCAN300, CANCONTROL"
133,Tachograph Total Vehicle Distance,4,Unsigned,0,4294967295,m,ALLCAN300
134,Trip Distance,4,Unsigned,0,4294967295,m,ALLCAN300
135,Tachograph Vehicle Speed,2,Unsigned,0,255,km/h,ALLCAN300
136,Tacho Driver Card Presence,1,Unsigned,0,3,-,ALLCAN300
137,Driver 1 States,1,Unsigned,0,255,-,ALLCAN300
138,Driver 2 States,1,Unsigned,0,255,-,ALLCAN300
139,Driver 1 Continuous Driving Time,2,Unsigned,0,65535,min.,ALLCAN300
140,Driver 2 Continuous Driving Time,2,Unsigned,0,65535,min.,ALLCAN300
141,Driver 1 Cumulative Break Time,2,Unsigned,0,65535,min.,ALLCAN300
142,Driver 2 Cumulative Break Time,2,Unsigned,0,65535,min.,ALLCAN300
